case_id,stl,mask,planes_with_intersection,planes_all_contours_closed,slicability_fraction,slicability_pass,mesh_bbox_diagonal_mm,centroid_offset_mm,centroid_offset_pct_of_diagonal,bbox_max_error_mm,mask_spacing_mm,alignment_pass,status
794,outputs/phase_b_mesh_qc/case_outputs/794/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/794/seg_mask_0.5.nii.gz,42,42,1.0,True,197.50301473166058,0.12705594660284206,0.0643311428817772,0.30000197887420654,0.6000 0.6000 0.6000,True,ok
795,outputs/phase_b_mesh_qc/case_outputs/795/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/795/seg_mask_0.5.nii.gz,50,48,0.96,False,170.4253547730797,0.1340632680201998,0.07866392192564552,0.3000032901763916,0.6000 0.6000 0.6000,True,ok
796,outputs/phase_b_mesh_qc/case_outputs/796/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/796/seg_mask_0.5.nii.gz,48,48,1.0,True,194.35648300275201,0.1408149079621545,0.0724518708028693,0.30000340938568115,0.6000 0.6000 0.6000,True,ok
797,outputs/phase_b_mesh_qc/case_outputs/797/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/797/seg_mask_0.5.nii.gz,50,50,1.0,True,155.96655070058867,0.11586530155499096,0.07428855804948802,0.3000071048736572,0.6000 0.6000 0.6000,True,ok
798,outputs/phase_b_mesh_qc/case_outputs/798/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/798/seg_mask_0.5.nii.gz,39,37,0.9487179487179487,False,253.74983073352044,1.9298478262504573,0.7605316703746372,0.30000221729278564,0.6000 0.6000 0.6000,True,ok
799,outputs/phase_b_mesh_qc/case_outputs/799/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/799/seg_mask_0.5.nii.gz,45,36,0.8,False,194.02278817666803,0.14285802929165178,0.07362951055088023,0.30000126361846924,0.6000 0.6000 0.6000,True,ok
800,outputs/phase_b_mesh_qc/case_outputs/800/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/800/seg_mask_0.5.nii.gz,47,47,1.0,True,221.8045144167757,0.15189422791022764,0.06848112551253802,0.30000054836273193,0.6000 0.6000 0.6000,True,ok
801,outputs/phase_b_mesh_qc/case_outputs/801/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/801/seg_mask_0.5.nii.gz,50,50,1.0,True,173.86548392434162,0.08169145733011368,0.046985436951742586,0.3000204563140869,0.6000 0.6000 0.6000,True,ok
802,outputs/phase_b_mesh_qc/case_outputs/802/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/802/seg_mask_0.5.nii.gz,48,46,0.9583333333333334,False,184.5582872669929,0.07161948418648535,0.03880588904841557,0.300006628036499,0.6000 0.6000 0.6000,True,ok
803,outputs/phase_b_mesh_qc/case_outputs/803/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/803/seg_mask_0.5.nii.gz,39,39,1.0,True,256.3208177629206,0.2577172357685969,0.10054479305187293,0.30000150203704834,0.6000 0.6000 0.6000,True,ok
804,outputs/phase_b_mesh_qc/case_outputs/804/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/804/seg_mask_0.5.nii.gz,50,48,0.96,False,166.79784960561315,0.082399814003433,0.049401004987932436,0.3000040054321289,0.6000 0.6000 0.6000,True,ok
805,outputs/phase_b_mesh_qc/case_outputs/805/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/805/seg_mask_0.5.nii.gz,50,50,1.0,True,167.306443887232,0.12234514165283936,0.07312637744861908,0.300006628036499,0.6000 0.6000 0.6000,True,ok
806,outputs/phase_b_mesh_qc/case_outputs/806/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/806/seg_mask_0.5.nii.gz,47,45,0.9574468085106383,False,172.85521313147126,0.15892835601158992,0.09194305056377514,0.3000061511993408,0.6000 0.6000 0.6000,True,ok
807,outputs/phase_b_mesh_qc/case_outputs/807/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/807/seg_mask_0.5.nii.gz,47,45,0.9574468085106383,False,197.75257796313176,0.1568061095364506,0.07929409120809791,0.3000074625015259,0.6000 0.6000 0.6000,True,ok
808,outputs/phase_b_mesh_qc/case_outputs/808/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/808/seg_mask_0.5.nii.gz,29,29,1.0,True,274.6894568567981,4.043618280267273,1.4720689780151641,0.30000555515289307,0.6000 0.6000 0.6000,True,ok
809,outputs/phase_b_mesh_qc/case_outputs/809/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/809/seg_mask_0.5.nii.gz,43,34,0.7906976744186046,False,117.78047914223922,0.16991248010034368,0.14426200448305745,0.30000340938568115,0.6000 0.6000 0.6000,True,ok
810,outputs/phase_b_mesh_qc/case_outputs/810/segmentation_repaired.stl,outputs/final_test_250_phaseb_traceable_v14/case_outputs/810/seg_mask_0.5.nii.gz,49,49,1.0,True,196.58587116685624,0.1732919205544341,0.08815075036971964,0.30000293254852295,0.6000 0.6000 0.6000,True,ok
